ai_likelihood,domain,llm_prediction_CLAUDE,llm_prediction_DEEPSEEK,llm_prediction_GOOGLE,llm_prediction_GPT35,llm_prediction_GPT4,llm_prediction_GROK,llm_prediction_HUMAN,llm_prediction_NOVA,llm_prediction_OPENAI_O_SERIES,llm_prediction_OTHER,paper_id,process
1.6225708855523005e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2086561953,original
1.3874636756049263e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1524333225,original
7.616149054633247e-07,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2901954177,original
1.0397699144151476e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2010049072,original
1.8212530348036025e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2149055390,original
3.22527355617947e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2963076818,original
1.3444158766004775e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2765811365,original
1.4238887363009983e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1489991626,original
2.284844716389974e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2268751503,original
7.351239522298178e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2156985047,original
9.139378865559896e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2147169507,original
1.0596381293402778e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2084341220,original
3.311369154188368e-07,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2950077417,original
1.026524437798394e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2149933564,original
3.1458006964789497e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2283196293,original
0.031077067057291668,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W243303449,original
6.622738308376736e-07,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2160654481,original
5.529986487494575e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2008906462,original
0.00021378199259440106,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1989299822,original
1.4967388576931424e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2062854284,original
3.675619761149089e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2113325037,original
2.317958407931858e-07,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2029941278,original
0.00012185838487413195,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2605343262,original
1.3245476616753473e-07,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1884191083,original
